City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
628,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
629,Calderitas,MX,80.17,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
633,Conakry,GN,79.56,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
638,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
640,Payson,US,76.37,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
644,Vanimo,PG,80.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
646,Soyo,AO,75.36,light rain,-6.1349,12.3689,Hospedaria ndozi'ame
648,Pacific Grove,US,75.38,few clouds,36.6177,-121.9166,Lovers Point Inn
650,Nakusp,CA,75.31,broken clouds,50.2499,-117.8023,Riders Retreat
652,Najran,SA,77.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
653,Puerto Lempira,HN,80.74,broken clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
654,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
657,Tessalit,ML,87.64,few clouds,20.1986,1.0114,
660,Doka,SD,75.6,scattered clouds,13.5167,35.7667,منصور عثمان
664,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
