City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Belaya Gora,RU,2022-10-04 23:49:02,68.5333,146.4167,21.24,85,60,2.8
153,Avera,US,2022-10-04 23:54:23,33.194,-82.5271,66.54,51,0,4.7
154,Pipri,IN,2022-10-04 23:54:24,19.8,75.5333,73.6,75,99,9.15
155,Souillac,MU,2022-10-04 23:54:24,-20.5167,57.5167,70.18,83,40,5.75
156,Hervey Bay,AU,2022-10-04 23:54:25,-25.2986,152.8535,70.02,68,59,5.99
157,Doha,QA,2022-10-04 23:45:21,25.2867,51.5333,85.89,87,0,10.36
158,Beloha,MG,2022-10-04 23:54:26,-25.1667,45.05,65.34,95,1,2.19
159,Carnarvon,AU,2022-10-04 23:54:27,-24.8667,113.6333,68.59,72,6,12.28
160,Barrow,US,2022-10-04 23:45:24,71.2906,-156.7887,33.82,80,100,0.0
161,Mnogovershinnyy,RU,2022-10-04 23:54:28,53.9353,139.9242,29.41,68,72,14.72
162,Gold Coast,AU,2022-10-04 23:54:23,-28.0,153.4333,73.9,63,40,9.22
163,Neuquen,AR,2022-10-04 23:54:27,-38.9516,-68.0591,64.29,45,20,3.44
164,Chippewa Falls,US,2022-10-04 23:54:29,44.9369,-91.3929,69.98,61,0,9.22
165,La Romana,DO,2022-10-04 23:52:48,18.4273,-68.9728,88.16,79,40,6.91
166,Clyde River,CA,2022-10-04 23:54:30,70.4692,-68.5914,26.83,86,100,19.57
167,Port Blair,IN,2022-10-04 23:54:30,11.6667,92.75,80.64,83,75,3.44
168,Natitingou,BJ,2022-10-04 23:54:31,10.3042,1.3796,72.14,89,89,2.19
169,Broome,US,2022-10-04 23:54:31,42.2506,-75.833,52.86,81,100,1.99
170,Nedjo,ET,2022-10-04 23:54:32,9.5046,35.5019,55.45,94,58,1.19
171,Crotone,IT,2022-10-04 23:54:32,39.0851,17.1178,62.19,60,36,16.22
172,Nikolskoye,RU,2022-10-04 23:54:34,59.7035,30.7861,44.8,95,71,2.17
173,Mersing,MY,2022-10-04 23:54:34,2.4312,103.8405,75.11,94,40,6.91
174,Curuguaty,PY,2022-10-04 23:54:35,-24.4694,-55.6945,65.84,66,0,3.85
175,Shonguy,RU,2022-10-04 23:54:35,68.7526,33.146,39.27,100,75,2.24
176,Alberdi,AR,2022-10-04 23:54:36,-32.8899,-60.6906,69.04,39,0,12.66
177,Constitucion,CL,2022-10-04 23:54:37,-35.3333,-72.4167,51.69,88,89,6.87
178,Brownfield,US,2022-10-04 23:54:37,33.1812,-102.2744,78.94,39,20,7.43
179,Humaita,BR,2022-10-04 23:54:38,-7.5061,-63.0208,81.1,61,64,0.78
180,Palermo,IT,2022-10-04 23:55:38,37.8167,13.5833,66.52,85,63,0.6
181,Ust-Nera,RU,2022-10-04 23:55:39,64.5667,143.2,15.51,89,100,7.27
182,Northview,US,2022-10-04 23:55:40,43.0456,-85.6006,60.89,74,11,6.53
183,Nhulunbuy,AU,2022-10-04 23:55:14,-12.2333,136.7667,84.81,70,40,14.97
184,Kuytun,RU,2022-10-04 23:55:41,54.3419,101.5036,25.61,90,68,2.86
185,Kamenka,RU,2022-10-04 23:55:41,51.3223,42.7678,53.87,89,91,8.84
186,Taketa,JP,2022-10-04 23:55:42,32.9652,131.3785,69.78,96,100,2.28
187,Duluth,US,2022-10-04 23:55:16,46.7833,-92.1066,66.07,84,0,5.75
188,Longyearbyen,SJ,2022-10-04 23:51:15,78.2186,15.6401,33.93,88,69,6.85
189,Kemijarvi,FI,2022-10-04 23:55:43,66.7131,27.4306,39.13,94,100,3.67
190,Severo-Yeniseyskiy,RU,2022-10-04 23:55:44,60.3725,93.0408,30.78,74,100,11.03
191,Dharmanagar,IN,2022-10-04 23:55:44,24.3667,92.1667,74.37,99,98,1.95
192,Marzuq,YE,2022-10-04 23:55:45,14.4,46.4667,72.64,48,33,3.0
193,Solnechnyy,RU,2022-10-04 23:55:46,50.7214,136.6319,34.79,48,56,9.62
194,San Quintin,MX,2022-10-04 23:55:46,30.4833,-115.95,71.46,77,26,9.89
195,Iskateley,RU,2022-10-04 23:55:47,67.6803,53.1512,40.51,79,100,12.5
196,Alghero,IT,2022-10-04 23:55:47,40.5589,8.3181,62.69,100,0,2.3
197,Apple Valley,US,2022-10-04 23:54:02,34.5008,-117.1859,90.79,12,1,7.0
198,College,US,2022-10-04 23:55:48,64.8569,-147.8028,54.28,53,73,3.51
199,Leningradskiy,RU,2022-10-04 23:55:49,69.3833,178.4167,23.85,85,74,5.17
200,Arequipa,PE,2022-10-04 23:55:49,-16.3989,-71.535,59.07,38,0,5.75
201,Valleyview,CA,2022-10-04 23:55:51,55.0667,-117.2859,62.64,36,91,5.75
202,Kearney,US,2022-10-04 23:55:51,40.6995,-99.0815,69.71,68,0,8.05
203,Lumut,MY,2022-10-04 23:55:52,4.2323,100.6298,75.22,94,40,2.3
204,Rizhao,CN,2022-10-04 23:55:53,35.4275,119.4553,51.58,62,57,10.42
205,Kabo,CF,2022-10-04 23:55:54,7.6994,18.629,69.24,98,99,2.08
206,Oga,IT,2022-10-04 23:55:54,46.4631,10.347,41.81,50,5,1.03
207,Mackay,AU,2022-10-04 23:55:08,-21.15,149.2,73.69,59,93,13.49
208,Pisco,PE,2022-10-04 23:55:55,-13.7,-76.2167,60.85,77,0,17.27
209,Aragarcas,BR,2022-10-04 23:55:56,-15.8975,-52.2508,80.94,52,63,2.44
210,Kolpashevo,RU,2022-10-04 23:55:57,58.3131,82.9089,37.33,97,100,9.17
211,Manavalakurichi,IN,2022-10-04 23:55:59,8.1333,77.3,77.49,87,100,14.05
212,Sao Joao Da Barra,BR,2022-10-04 23:56:00,-21.6403,-41.0511,73.49,94,94,7.38
213,Narsaq,GL,2022-10-04 23:46:44,60.9167,-46.05,41.22,89,100,5.73
214,Kavieng,PG,2022-10-04 23:56:00,-2.5744,150.7967,84.49,71,86,16.31
215,Kushmurun,KZ,2022-10-04 23:56:01,52.4503,64.6311,41.18,38,5,5.5
216,Nueve De Julio,AR,2022-10-04 23:56:01,-35.4444,-60.8831,63.97,41,66,1.01
217,Petropavlovsk-Kamchatskiy,RU,2022-10-04 23:56:02,53.0452,158.6483,46.99,100,100,4.47
218,Isangel,VU,2022-10-04 23:52:47,-19.55,169.2667,77.47,60,25,11.59
219,Hovd,MN,2022-10-04 23:56:03,48.0056,91.6419,25.88,38,13,1.54
220,Baykit,RU,2022-10-04 23:56:04,61.67,96.37,27.23,87,67,4.54
221,Jinchang,CN,2022-10-04 23:56:05,38.4953,102.1739,45.9,69,100,5.32
222,Cabo San Lucas,MX,2022-10-04 23:56:05,22.8909,-109.9124,88.61,69,0,5.75
223,Cananea,MX,2022-10-04 23:56:06,30.95,-110.3,64.54,43,43,13.56
224,Bubaque,GW,2022-10-04 23:56:07,11.2833,-15.8333,81.59,79,91,7.99
225,Jalu,LY,2022-10-04 23:56:08,29.0331,21.5482,71.89,61,0,9.91
226,Lasa,IT,2022-10-04 23:56:08,46.6166,10.7002,45.36,48,9,1.12
227,Lorengau,PG,2022-10-04 23:56:09,-2.0226,147.2712,83.62,78,86,10.38
228,Grindavik,IS,2022-10-04 23:57:10,63.8424,-22.4338,43.27,81,100,21.85
229,Dingle,PH,2022-10-04 23:57:12,10.9995,122.6711,81.41,83,100,6.91
230,Iqaluit,CA,2022-10-04 23:57:13,63.7506,-68.5145,33.53,100,100,0.0
231,Sao Joao De Pirabas,BR,2022-10-04 23:57:14,-0.7747,-47.1772,79.03,75,75,8.08
232,Tucuman,AR,2022-10-04 23:57:14,-26.8241,-65.2226,82.4,32,0,6.91
233,Thompson,CA,2022-10-04 23:57:15,55.7435,-97.8558,55.56,47,75,2.3
234,Mizdah,LY,2022-10-04 23:57:15,31.4451,12.9801,64.76,81,0,7.9
235,Nelson Bay,AU,2022-10-04 23:57:16,-32.7167,152.15,64.11,87,100,14.0
236,Berezovyy,RU,2022-10-04 23:57:17,51.6667,135.7,36.66,44,34,6.04
237,Georgetown,MY,2022-10-04 23:57:19,5.4112,100.3354,78.89,94,20,0.0
238,Belyy Yar,RU,2022-10-04 23:57:20,53.6039,91.3903,24.69,93,27,4.47
239,Dalby,AU,2022-10-04 23:57:21,-27.1833,151.2667,69.98,49,99,4.0
240,Bud,US,2022-10-04 23:57:21,39.447,-86.1758,62.62,60,0,4.12
241,Paamiut,GL,2022-10-04 23:57:22,61.994,-49.6678,36.3,99,100,31.05
242,Butaritari,KI,2022-10-04 23:57:23,3.0707,172.7902,81.25,78,11,16.06
243,Khani,GE,2022-10-04 23:57:28,41.9563,42.9566,54.97,88,100,1.74
244,Price,US,2022-10-04 23:57:29,39.5994,-110.8107,72.12,31,12,4.41
245,Maple Creek,CA,2022-10-04 23:57:29,49.9168,-109.4848,80.65,26,16,8.05
